weight,strategy,stop_loss,bear_alloc,bull_sr,bull_dd,bull_ret,bear_sr,bear_dd,bear_wr,bear_trades,bull_rebal,bear_rebal,passed
V0.2(Fund+Ana),Fixed_30d,-0.1,0.3,2.012,16.3,163.68,-0.552,11.82,37.8,45,17,10,False
V0.2(Fund+Ana),Fixed_30d,-0.1,0.5,2.118,16.3,180.05,-0.274,15.43,37.8,45,17,10,False
V0.2(Fund+Ana),Fixed_30d,-0.15,0.3,2.106,16.91,192.8,-0.24,7.53,47.5,40,17,9,True
V0.2(Fund+Ana),Fixed_30d,-0.15,0.5,2.206,16.91,210.98,-0.194,12.4,47.5,40,17,9,True
V0.2(Fund+Ana),Fixed_30d,-0.25,0.3,2.068,16.91,188.14,-0.115,8.19,50.0,40,17,9,True
V0.2(Fund+Ana),Fixed_30d,-0.25,0.5,2.168,16.91,206.03,-0.066,13.41,50.0,40,17,9,True
V0.2(Fund+Ana),Fixed_60d,-0.1,0.3,2.35,12.94,208.9,-0.596,9.19,24.0,25,9,6,False
V0.2(Fund+Ana),Fixed_60d,-0.1,0.5,2.354,12.94,212.0,-0.668,15.0,24.0,25,9,6,False
V0.2(Fund+Ana),Fixed_60d,-0.15,0.3,2.407,13.78,229.4,-0.918,11.91,30.0,20,9,5,False
V0.2(Fund+Ana),Fixed_60d,-0.15,0.5,2.408,13.78,232.51,-0.925,15.95,30.0,20,9,5,False
V0.2(Fund+Ana),Fixed_60d,-0.25,0.3,2.442,14.08,248.45,-0.334,9.57,35.0,20,9,5,False
V0.2(Fund+Ana),Fixed_60d,-0.25,0.5,2.444,14.08,251.74,-0.291,15.65,35.0,20,9,5,False
V0.2(Fund+Ana),Signal_5d,-0.1,0.3,1.524,5.58,33.25,-0.291,3.1,0.0,4,1,1,False
V0.2(Fund+Ana),Signal_5d,-0.1,0.5,1.576,8.17,55.41,-0.277,5.16,0.0,4,1,1,False
V0.2(Fund+Ana),Signal_5d,-0.15,0.3,1.502,5.59,32.94,0.045,3.86,0.0,3,1,1,False
V0.2(Fund+Ana),Signal_5d,-0.15,0.5,1.551,8.2,54.91,0.062,6.43,0.0,3,1,1,False
V0.2(Fund+Ana),Signal_5d,-0.25,0.3,1.469,5.62,32.32,-0.193,4.42,0.0,3,1,1,False
V0.2(Fund+Ana),Signal_5d,-0.25,0.5,1.516,8.26,53.88,-0.172,7.36,0.0,3,1,1,False
V0.2(Fund+Ana),Signal_10d,-0.1,0.3,1.524,5.58,33.25,-0.291,3.1,0.0,4,1,1,False
V0.2(Fund+Ana),Signal_10d,-0.1,0.5,1.576,8.17,55.41,-0.277,5.16,0.0,4,1,1,False
V0.2(Fund+Ana),Signal_10d,-0.15,0.3,1.502,5.59,32.94,0.045,3.86,0.0,3,1,1,False
V0.2(Fund+Ana),Signal_10d,-0.15,0.5,1.551,8.2,54.91,0.062,6.43,0.0,3,1,1,False
V0.2(Fund+Ana),Signal_10d,-0.25,0.3,1.469,5.62,32.32,-0.193,4.42,0.0,3,1,1,False
V0.2(Fund+Ana),Signal_10d,-0.25,0.5,1.516,8.26,53.88,-0.172,7.36,0.0,3,1,1,False
V0.2(Fund+Ana),Hybrid_20d,-0.1,0.3,1.524,5.58,33.25,0.924,3.1,20.0,5,1,2,False
V0.2(Fund+Ana),Hybrid_20d,-0.1,0.5,1.576,8.17,55.41,0.94,5.16,20.0,5,1,2,False
V0.2(Fund+Ana),Hybrid_20d,-0.15,0.3,1.502,5.59,32.94,0.319,3.86,25.0,4,1,1,False
V0.2(Fund+Ana),Hybrid_20d,-0.15,0.5,1.551,8.2,54.91,0.333,6.43,25.0,4,1,1,False
V0.2(Fund+Ana),Hybrid_20d,-0.25,0.3,1.469,5.62,32.32,0.038,4.42,25.0,4,1,1,False
V0.2(Fund+Ana),Hybrid_20d,-0.25,0.5,1.516,8.26,53.88,0.056,7.36,25.0,4,1,1,False
V0.2(Fund+Ana),Adaptive,-0.1,0.3,2.174,14.13,186.47,-0.522,8.57,37.5,40,18,9,False
V0.2(Fund+Ana),Adaptive,-0.1,0.5,2.249,14.13,199.93,-0.478,13.13,37.5,40,18,9,False
V0.2(Fund+Ana),Adaptive,-0.15,0.3,2.222,15.52,210.42,-0.755,10.99,42.9,35,18,8,True
V0.2(Fund+Ana),Adaptive,-0.15,0.5,2.294,15.52,225.0,-0.612,15.24,42.9,35,18,8,True
V0.2(Fund+Ana),Adaptive,-0.25,0.3,2.182,14.77,207.69,-0.562,9.98,42.9,35,18,8,True
V0.2(Fund+Ana),Adaptive,-0.25,0.5,2.253,14.77,222.16,-0.396,14.52,42.9,35,18,8,True
Pure_Fund,Fixed_30d,-0.1,0.3,0.843,14.53,41.23,-0.659,11.56,31.7,41,17,9,False
Pure_Fund,Fixed_30d,-0.1,0.5,0.953,14.53,49.36,-0.611,18.76,31.7,41,17,9,False
Pure_Fund,Fixed_30d,-0.15,0.3,0.952,13.34,51.37,-0.718,10.07,40.0,40,17,9,False
Pure_Fund,Fixed_30d,-0.15,0.5,1.051,13.34,59.68,-0.647,16.45,40.0,40,17,9,False
Pure_Fund,Fixed_30d,-0.25,0.3,0.879,15.21,46.44,-0.547,10.04,42.5,40,17,9,True
Pure_Fund,Fixed_30d,-0.25,0.5,0.982,15.21,54.82,-0.459,16.44,42.5,40,17,9,True
Pure_Fund,Fixed_60d,-0.1,0.3,0.802,17.09,35.23,-1.092,12.6,23.1,26,9,6,False
Pure_Fund,Fixed_60d,-0.1,0.5,0.842,17.09,38.21,-1.115,16.99,23.1,26,9,6,False
Pure_Fund,Fixed_60d,-0.15,0.3,0.906,17.97,43.85,-1.124,11.98,25.0,20,9,5,False
Pure_Fund,Fixed_60d,-0.15,0.5,0.942,17.97,46.94,-1.098,18.3,25.0,20,9,5,False
Pure_Fund,Fixed_60d,-0.25,0.3,0.976,18.21,52.38,-0.762,12.14,30.0,20,9,5,False
Pure_Fund,Fixed_60d,-0.25,0.5,1.01,18.21,55.65,-0.692,19.63,30.0,20,9,5,False
Pure_Fund,Signal_5d,-0.1,0.3,1.011,9.44,26.29,-0.961,8.73,0.0,13,1,3,False
Pure_Fund,Signal_5d,-0.1,0.5,1.071,13.63,43.82,-0.951,14.26,0.0,13,1,3,False
Pure_Fund,Signal_5d,-0.15,0.3,0.983,9.49,25.69,-1.269,8.72,0.0,8,1,2,False
Pure_Fund,Signal_5d,-0.15,0.5,1.041,13.72,42.81,-1.251,14.32,0.0,8,1,2,False
Pure_Fund,Signal_5d,-0.25,0.3,0.934,9.58,24.47,-1.557,7.56,0.0,4,1,1,False
Pure_Fund,Signal_5d,-0.25,0.5,0.99,13.91,40.78,-1.534,12.6,0.0,4,1,1,False
Pure_Fund,Signal_10d,-0.1,0.3,0.801,10.62,17.01,-0.961,8.73,0.0,13,1,3,False
Pure_Fund,Signal_10d,-0.1,0.5,0.863,15.34,28.35,-0.951,14.26,0.0,13,1,3,False
Pure_Fund,Signal_10d,-0.15,0.3,0.784,10.64,16.71,-1.269,8.72,0.0,8,1,2,False
Pure_Fund,Signal_10d,-0.15,0.5,0.844,15.39,27.85,-1.251,14.32,0.0,8,1,2,False
Pure_Fund,Signal_10d,-0.25,0.3,0.755,10.7,16.09,-1.557,7.56,0.0,4,1,1,False
Pure_Fund,Signal_10d,-0.25,0.5,0.813,15.5,26.82,-1.534,12.6,0.0,4,1,1,False
Pure_Fund,Hybrid_20d,-0.1,0.3,0.784,10.65,16.66,-0.961,8.73,0.0,13,1,3,False
Pure_Fund,Hybrid_20d,-0.1,0.5,0.844,15.4,27.77,-0.951,14.26,0.0,13,1,3,False
Pure_Fund,Hybrid_20d,-0.15,0.3,0.766,10.67,16.36,-1.269,8.72,0.0,8,1,2,False
Pure_Fund,Hybrid_20d,-0.15,0.5,0.825,15.45,27.27,-1.251,14.32,0.0,8,1,2,False
Pure_Fund,Hybrid_20d,-0.25,0.3,0.737,10.72,15.74,-1.557,7.56,0.0,4,1,1,False
Pure_Fund,Hybrid_20d,-0.25,0.5,0.794,15.56,26.23,-1.534,12.6,0.0,4,1,1,False
Pure_Fund,Adaptive,-0.1,0.3,1.199,13.43,66.58,-0.212,11.85,41.7,36,18,8,False
Pure_Fund,Adaptive,-0.1,0.5,1.285,13.43,74.37,0.026,15.68,41.7,36,18,8,False
Pure_Fund,Adaptive,-0.15,0.3,1.258,13.62,73.06,-1.202,14.04,34.3,35,18,8,False
Pure_Fund,Adaptive,-0.15,0.5,1.336,13.62,80.69,-1.086,20.23,34.3,35,18,8,False
Pure_Fund,Adaptive,-0.25,0.3,1.177,15.06,67.83,-0.992,12.87,37.1,35,18,8,False
Pure_Fund,Adaptive,-0.25,0.5,1.255,15.06,75.22,-0.848,20.26,37.1,35,18,8,False
Fund+Insider,Fixed_30d,-0.1,0.3,0.567,12.94,14.56,-1.324,11.33,34.1,41,17,9,False
Fund+Insider,Fixed_30d,-0.1,0.5,0.676,13.51,18.38,-1.223,14.95,34.1,41,17,9,False
Fund+Insider,Fixed_30d,-0.15,0.3,0.52,14.4,13.72,-0.708,9.97,47.5,40,17,9,True
Fund+Insider,Fixed_30d,-0.15,0.5,0.625,14.95,17.51,-0.686,16.25,47.5,40,17,9,True
Fund+Insider,Fixed_30d,-0.25,0.3,0.579,13.73,15.96,-0.564,8.99,47.5,40,17,9,True
Fund+Insider,Fixed_30d,-0.25,0.5,0.681,14.28,19.82,-0.524,14.7,47.5,40,17,9,True
Fund+Insider,Fixed_60d,-0.1,0.3,1.193,9.2,34.67,-1.348,16.73,15.0,20,9,5,False
Fund+Insider,Fixed_60d,-0.1,0.5,1.175,9.2,34.86,-1.334,20.37,15.0,20,9,5,False
Fund+Insider,Fixed_60d,-0.15,0.3,1.041,9.66,31.6,-1.289,11.3,30.0,20,9,5,False
Fund+Insider,Fixed_60d,-0.15,0.5,1.021,9.66,31.63,-1.341,18.25,30.0,20,9,5,False
Fund+Insider,Fixed_60d,-0.25,0.3,1.276,10.08,42.14,-1.251,12.05,30.0,20,9,5,False
Fund+Insider,Fixed_60d,-0.25,0.5,1.251,10.08,42.17,-1.269,19.43,30.0,20,9,5,False
Fund+Insider,Signal_5d,-0.1,0.3,0.564,4.06,4.89,-1.074,8.11,0.0,11,1,3,False
Fund+Insider,Signal_5d,-0.1,0.5,0.585,6.41,8.15,-1.07,13.19,0.0,11,1,3,False
Fund+Insider,Signal_5d,-0.15,0.3,0.475,4.08,4.32,-1.422,7.86,0.0,9,1,2,False
Fund+Insider,Signal_5d,-0.15,0.5,0.494,6.46,7.19,-1.407,12.93,0.0,9,1,2,False
Fund+Insider,Signal_5d,-0.25,0.3,0.342,4.13,3.07,-0.59,5.71,0.0,5,1,2,False
Fund+Insider,Signal_5d,-0.25,0.5,0.36,6.58,5.11,-0.584,9.51,0.0,5,1,2,False
Fund+Insider,Signal_10d,-0.1,0.3,1.234,3.13,10.82,-1.215,8.59,6.7,15,2,4,False
Fund+Insider,Signal_10d,-0.1,0.5,1.249,5.13,18.23,-1.211,13.94,6.7,15,2,4,False
Fund+Insider,Signal_10d,-0.15,0.3,1.193,3.32,11.08,-1.344,7.09,0.0,9,2,2,False
Fund+Insider,Signal_10d,-0.15,0.5,1.207,5.44,18.7,-1.327,11.68,0.0,9,2,2,False
Fund+Insider,Signal_10d,-0.25,0.3,1.143,3.32,10.78,-0.998,7.59,0.0,7,2,2,False
Fund+Insider,Signal_10d,-0.25,0.5,1.156,5.44,18.14,-0.977,12.48,0.0,7,2,2,False
Fund+Insider,Hybrid_20d,-0.1,0.3,0.002,9.69,-0.57,-0.674,6.61,22.2,18,3,4,False
Fund+Insider,Hybrid_20d,-0.1,0.5,0.039,10.74,-0.05,-0.669,10.77,22.2,18,3,4,False
Fund+Insider,Hybrid_20d,-0.15,0.3,-0.167,12.29,-3.43,-0.772,6.2,33.3,9,3,2,False
Fund+Insider,Hybrid_20d,-0.15,0.5,-0.098,13.01,-2.59,-0.757,10.23,33.3,9,3,2,False
Fund+Insider,Hybrid_20d,-0.25,0.3,-0.189,15.92,-4.14,-1.438,10.41,12.5,8,3,2,False
Fund+Insider,Hybrid_20d,-0.25,0.5,-0.145,16.94,-3.7,-1.405,17.05,12.5,8,3,2,False
Fund+Insider,Adaptive,-0.1,0.3,0.817,11.2,23.47,-1.257,9.87,32.5,40,18,9,False
Fund+Insider,Adaptive,-0.1,0.5,0.912,11.77,27.39,-1.253,16.12,32.5,40,18,9,False
Fund+Insider,Adaptive,-0.15,0.3,0.662,13.79,18.74,-1.307,12.13,42.9,35,18,8,True
Fund+Insider,Adaptive,-0.15,0.5,0.757,14.35,22.51,-1.254,18.05,42.9,35,18,8,True
Fund+Insider,Adaptive,-0.25,0.3,0.743,11.52,21.92,-0.647,9.26,45.7,35,18,8,True
Fund+Insider,Adaptive,-0.25,0.5,0.835,12.09,25.79,-0.489,15.16,45.7,35,18,8,True
Full_FMP,Fixed_30d,-0.1,0.3,1.173,7.9,35.77,0.948,5.08,65.0,40,17,9,True
Full_FMP,Fixed_30d,-0.1,0.5,1.268,8.16,39.9,1.096,8.23,65.0,40,17,9,True
Full_FMP,Fixed_30d,-0.15,0.3,1.078,9.5,33.58,0.974,5.08,67.5,40,17,9,True
Full_FMP,Fixed_30d,-0.15,0.5,1.171,9.5,37.65,1.11,8.23,67.5,40,17,9,True
Full_FMP,Fixed_30d,-0.25,0.3,1.021,11.12,32.08,0.853,5.11,67.5,40,17,9,True
Full_FMP,Fixed_30d,-0.25,0.5,1.113,11.12,36.09,0.977,8.52,67.5,40,17,9,True
Full_FMP,Fixed_60d,-0.1,0.3,1.316,12.27,37.14,-0.38,6.15,45.0,20,9,5,True
Full_FMP,Fixed_60d,-0.1,0.5,1.306,12.27,37.4,-0.269,10.02,45.0,20,9,5,True
Full_FMP,Fixed_60d,-0.15,0.3,0.945,16.37,27.26,-0.301,6.48,50.0,20,9,5,True
Full_FMP,Fixed_60d,-0.15,0.5,0.93,16.37,27.23,-0.194,10.49,50.0,20,9,5,True
Full_FMP,Fixed_60d,-0.25,0.3,0.936,15.82,27.91,-0.565,8.22,50.0,20,9,5,True
Full_FMP,Fixed_60d,-0.25,0.5,0.927,15.82,28.04,-0.476,13.41,50.0,20,9,5,True
Full_FMP,Signal_5d,-0.1,0.3,-0.096,12.81,-2.14,0.425,3.17,20.0,5,2,2,False
Full_FMP,Signal_5d,-0.1,0.5,-0.131,12.81,-2.86,0.44,5.28,20.0,5,2,2,False
Full_FMP,Signal_5d,-0.15,0.3,-0.077,12.07,-1.96,0.204,3.95,20.0,5,2,2,False
Full_FMP,Signal_5d,-0.15,0.5,-0.133,12.32,-3.08,0.217,6.58,20.0,5,2,2,False
Full_FMP,Signal_5d,-0.25,0.3,0.584,11.84,11.96,-0.125,5.11,20.0,5,2,2,False
Full_FMP,Signal_5d,-0.25,0.5,0.449,15.43,9.15,-0.111,8.52,20.0,5,2,2,False
Full_FMP,Signal_10d,-0.1,0.3,-0.07,13.02,-1.75,0.227,3.17,16.7,6,2,2,False
Full_FMP,Signal_10d,-0.1,0.5,-0.081,13.02,-2.06,0.243,5.28,16.7,6,2,2,False
Full_FMP,Signal_10d,-0.15,0.3,-0.051,12.26,-1.54,-0.003,3.95,16.7,6,2,2,False
Full_FMP,Signal_10d,-0.15,0.5,-0.084,12.26,-2.26,0.014,6.58,16.7,6,2,2,False
Full_FMP,Signal_10d,-0.25,0.3,0.614,11.28,12.68,-0.351,5.11,20.0,5,2,2,False
Full_FMP,Signal_10d,-0.25,0.5,0.498,14.51,10.34,-0.331,8.52,20.0,5,2,2,False
Full_FMP,Hybrid_20d,-0.1,0.3,0.417,6.68,5.41,0.425,3.17,20.0,5,2,2,False
Full_FMP,Hybrid_20d,-0.1,0.5,0.382,7.91,5.21,0.44,5.28,20.0,5,2,2,False
Full_FMP,Hybrid_20d,-0.15,0.3,0.452,9.13,6.28,0.204,3.95,20.0,5,2,2,False
Full_FMP,Hybrid_20d,-0.15,0.5,0.386,11.11,5.64,0.217,6.58,20.0,5,2,2,False
Full_FMP,Hybrid_20d,-0.25,0.3,1.038,11.11,21.04,-0.125,5.11,20.0,5,2,2,False
Full_FMP,Hybrid_20d,-0.25,0.5,0.892,14.22,18.69,-0.111,8.52,20.0,5,2,2,False
Full_FMP,Adaptive,-0.1,0.3,0.775,11.5,22.03,0.062,6.64,45.0,40,18,9,True
Full_FMP,Adaptive,-0.1,0.5,0.888,11.5,26.39,0.336,10.89,45.0,40,18,9,True
Full_FMP,Adaptive,-0.15,0.3,0.706,12.07,20.12,-0.43,8.63,51.4,35,18,8,True
Full_FMP,Adaptive,-0.15,0.5,0.818,12.07,24.41,-0.228,12.37,51.4,35,18,8,True
Full_FMP,Adaptive,-0.25,0.3,0.673,13.04,19.2,-0.073,7.46,54.3,35,18,8,True
Full_FMP,Adaptive,-0.25,0.5,0.785,13.04,23.47,0.133,12.22,54.3,35,18,8,True
Insider_Heavy,Fixed_30d,-0.1,0.3,1.422,9.33,43.43,0.007,6.31,52.5,40,17,9,True
Insider_Heavy,Fixed_30d,-0.1,0.5,1.506,9.33,47.4,0.108,10.27,52.5,40,17,9,True
Insider_Heavy,Fixed_30d,-0.15,0.3,1.282,11.25,39.27,-0.076,8.09,55.0,40,17,9,True
Insider_Heavy,Fixed_30d,-0.15,0.5,1.366,11.25,43.12,0.011,13.29,55.0,40,17,9,True
Insider_Heavy,Fixed_30d,-0.25,0.3,1.256,12.18,38.89,0.05,7.12,55.0,40,17,9,True
Insider_Heavy,Fixed_30d,-0.25,0.5,1.34,12.18,42.73,0.142,11.74,55.0,40,17,9,True
Insider_Heavy,Fixed_60d,-0.1,0.3,1.581,9.65,47.4,0.23,13.45,30.0,20,9,5,False
Insider_Heavy,Fixed_60d,-0.1,0.5,1.605,9.65,49.33,0.34,15.53,30.0,20,9,5,False
Insider_Heavy,Fixed_60d,-0.15,0.3,1.446,10.23,45.74,-0.943,10.24,40.0,20,9,5,False
Insider_Heavy,Fixed_60d,-0.15,0.5,1.466,10.23,47.55,-0.893,16.64,40.0,20,9,5,False
Insider_Heavy,Fixed_60d,-0.25,0.3,1.446,10.31,46.35,-1.027,11.71,40.0,20,9,5,False
Insider_Heavy,Fixed_60d,-0.25,0.5,1.467,10.31,48.17,-0.975,18.96,40.0,20,9,5,False
Insider_Heavy,Signal_5d,-0.1,0.3,2.003,7.92,46.34,0.171,3.95,11.1,9,3,2,False
Insider_Heavy,Signal_5d,-0.1,0.5,1.965,7.92,47.05,0.18,6.34,11.1,9,3,2,False
Insider_Heavy,Signal_5d,-0.15,0.3,1.927,7.92,46.72,-0.482,4.1,12.5,8,3,2,False
Insider_Heavy,Signal_5d,-0.15,0.5,1.877,9.29,47.14,-0.474,6.81,12.5,8,3,2,False
Insider_Heavy,Signal_5d,-0.25,0.3,1.874,7.92,45.24,-0.805,6.12,12.5,8,3,2,False
Insider_Heavy,Signal_5d,-0.25,0.5,1.813,10.11,45.29,-0.797,10.11,12.5,8,3,2,False
Insider_Heavy,Signal_10d,-0.1,0.3,0.874,10.53,13.52,0.145,3.94,11.1,9,5,2,False
Insider_Heavy,Signal_10d,-0.1,0.5,0.876,10.53,14.3,0.154,6.33,11.1,9,5,2,False
Insider_Heavy,Signal_10d,-0.15,0.3,0.944,9.8,16.74,-0.849,5.96,0.0,8,4,2,False
Insider_Heavy,Signal_10d,-0.15,0.5,0.94,9.8,17.5,-0.833,9.83,0.0,8,4,2,False
Insider_Heavy,Signal_10d,-0.25,0.3,1.083,9.68,18.6,-0.906,7.94,0.0,7,3,2,False
Insider_Heavy,Signal_10d,-0.25,0.5,1.07,9.68,19.37,-0.89,13.05,0.0,7,3,2,False
Insider_Heavy,Hybrid_20d,-0.1,0.3,2.627,5.12,50.66,0.235,3.25,11.1,9,3,2,False
Insider_Heavy,Hybrid_20d,-0.1,0.5,2.549,6.6,51.97,0.243,5.41,11.1,9,3,2,False
Insider_Heavy,Hybrid_20d,-0.15,0.3,2.482,6.58,51.35,-0.825,5.9,12.5,8,3,2,False
Insider_Heavy,Hybrid_20d,-0.15,0.5,2.407,8.09,52.58,-0.808,9.73,12.5,8,3,2,False
Insider_Heavy,Hybrid_20d,-0.25,0.3,2.44,6.84,50.4,-0.874,7.59,25.0,8,3,2,False
Insider_Heavy,Hybrid_20d,-0.25,0.5,2.367,8.34,51.62,-0.857,12.48,25.0,8,3,2,False
Insider_Heavy,Adaptive,-0.1,0.3,0.949,14.79,27.37,0.349,6.87,45.7,35,18,8,True
Insider_Heavy,Adaptive,-0.1,0.5,1.076,14.79,32.44,0.431,9.56,45.7,35,18,8,True
Insider_Heavy,Adaptive,-0.15,0.3,0.755,16.04,21.15,-0.11,5.41,60.0,35,18,8,True
Insider_Heavy,Adaptive,-0.15,0.5,0.883,16.04,25.97,0.127,8.91,60.0,35,18,8,True
Insider_Heavy,Adaptive,-0.25,0.3,0.762,17.06,21.91,0.213,5.41,62.9,35,18,8,True
Insider_Heavy,Adaptive,-0.25,0.5,0.887,17.06,26.76,0.46,8.91,62.9,35,18,8,True
Valuation,Fixed_30d,-0.1,0.3,1.787,15.51,80.58,-0.67,10.09,37.5,40,17,9,False
Valuation,Fixed_30d,-0.1,0.5,1.852,15.51,86.05,-0.581,14.45,37.5,40,17,9,False
Valuation,Fixed_30d,-0.15,0.3,1.88,15.12,94.9,-0.358,7.44,45.0,40,17,9,True
Valuation,Fixed_30d,-0.15,0.5,1.941,15.12,100.83,-0.258,10.17,45.0,40,17,9,True
Valuation,Fixed_30d,-0.25,0.3,1.835,15.78,93.9,-0.565,7.86,47.5,40,17,9,True
Valuation,Fixed_30d,-0.25,0.5,1.897,15.78,99.88,-0.475,10.87,47.5,40,17,9,True
Valuation,Fixed_60d,-0.1,0.3,1.449,12.45,56.19,-0.905,10.27,35.0,20,9,5,False
Valuation,Fixed_60d,-0.1,0.5,1.456,12.45,57.68,-0.831,14.85,35.0,20,9,5,False
Valuation,Fixed_60d,-0.15,0.3,1.678,13.23,76.86,-0.45,8.1,50.0,20,9,5,True
Valuation,Fixed_60d,-0.15,0.5,1.676,13.23,78.13,-0.349,11.37,50.0,20,9,5,True
Valuation,Fixed_60d,-0.25,0.3,1.8,14.11,88.96,-0.804,9.64,50.0,20,9,5,True
Valuation,Fixed_60d,-0.25,0.5,1.814,14.11,91.43,-0.716,13.87,50.0,20,9,5,True
Valuation,Signal_5d,-0.1,0.3,0.797,5.13,9.04,0.483,7.0,0.0,3,1,1,False
Valuation,Signal_5d,-0.1,0.5,0.817,8.19,15.08,0.512,11.19,0.0,3,1,1,False
Valuation,Signal_5d,-0.15,0.3,0.71,4.8,8.34,0.6,6.58,0.0,2,1,1,False
Valuation,Signal_5d,-0.15,0.5,0.73,7.68,13.9,0.629,10.57,0.0,2,1,1,False
Valuation,Signal_5d,-0.25,0.3,0.727,5.18,9.13,0.397,6.69,0.0,2,1,1,False
Valuation,Signal_5d,-0.25,0.5,0.747,8.28,15.22,0.425,10.83,0.0,2,1,1,False
Valuation,Signal_10d,-0.1,0.3,0.797,5.13,9.04,0.483,7.0,0.0,3,1,1,False
Valuation,Signal_10d,-0.1,0.5,0.817,8.19,15.08,0.512,11.19,0.0,3,1,1,False
Valuation,Signal_10d,-0.15,0.3,0.71,4.8,8.34,0.6,6.58,0.0,2,1,1,False
Valuation,Signal_10d,-0.15,0.5,0.73,7.68,13.9,0.629,10.57,0.0,2,1,1,False
Valuation,Signal_10d,-0.25,0.3,0.727,5.18,9.13,0.397,6.69,0.0,2,1,1,False
Valuation,Signal_10d,-0.25,0.5,0.747,8.28,15.22,0.425,10.83,0.0,2,1,1,False
Valuation,Hybrid_20d,-0.1,0.3,0.797,5.13,9.04,0.483,7.0,0.0,3,1,1,False
Valuation,Hybrid_20d,-0.1,0.5,0.817,8.19,15.08,0.512,11.19,0.0,3,1,1,False
Valuation,Hybrid_20d,-0.15,0.3,0.71,4.8,8.34,0.6,6.58,0.0,2,1,1,False
Valuation,Hybrid_20d,-0.15,0.5,0.73,7.68,13.9,0.629,10.57,0.0,2,1,1,False
Valuation,Hybrid_20d,-0.25,0.3,0.727,5.18,9.13,0.397,6.69,0.0,2,1,1,False
Valuation,Hybrid_20d,-0.25,0.5,0.747,8.28,15.22,0.425,10.83,0.0,2,1,1,False
Valuation,Adaptive,-0.1,0.3,1.644,13.06,68.41,-1.3,12.2,36.1,36,18,8,False
Valuation,Adaptive,-0.1,0.5,1.663,13.06,70.79,-1.092,16.46,36.1,36,18,8,False
Valuation,Adaptive,-0.15,0.3,1.729,13.92,77.91,-0.851,10.95,45.7,35,18,8,True
Valuation,Adaptive,-0.15,0.5,1.74,13.92,80.01,-0.663,14.45,45.7,35,18,8,True
Valuation,Adaptive,-0.25,0.3,1.79,10.9,85.1,-0.966,10.82,51.4,35,18,8,True
Valuation,Adaptive,-0.25,0.5,1.801,10.9,87.35,-0.799,16.65,51.4,35,18,8,True
