date,n_stocks,v044_top10_avg_score,v045_top10_avg_score,v044_top10_fwd5d,v045_top10_fwd5d,v044_top10_fwd10d,v045_top10_fwd10d,v044_top10_fwd20d,v045_top10_fwd20d,sp500_fwd10d,v044_alpha_10d,v045_alpha_10d,common_top10,v044_top10,v045_top10
2026-04-29,473,0.7104,0.7352,8.8,4.67,9.28,2.71,22.48,11.64,0.8,8.49,1.91,7,"DECK,LULU,MU,TPR,NVDA,RL,TTD,QCOM,FSLR,WDC","DECK,MU,NVDA,TPR,TTD,LULU,WTW,RL,KKR,AMD"
2026-04-30,473,0.7035,0.728,5.43,2.53,6.6,2.61,20.31,9.8,-0.28,6.88,2.89,6,"DECK,LULU,MU,NVDA,TTD,QCOM,FSLR,WDC,KKR,ADBE","DECK,MU,NVDA,TTD,LULU,WTW,KKR,INCY,PFG,PLTR"
2026-05-01,473,0.7015,0.7277,5.41,3.48,2.77,-0.22,17.97,11.34,-1.03,3.8,0.81,7,"DECK,MU,LULU,NVDA,TTD,FSLR,WDC,KKR,WTW,ADBE","DECK,MU,NVDA,TTD,WTW,LULU,KKR,INCY,PFG,PLTR"
2026-05-04,473,0.7046,0.7166,5.54,5.4,3.96,3.51,9.69,11.18,0.37,3.59,3.15,8,"FICO,MU,NFLX,LULU,PTC,EQT,NEM,BIIB,NVDA,MO","MU,FICO,NVDA,NFLX,LULU,PTC,BIIB,PLTR,EOG,NEM"
2026-05-05,473,0.7046,0.7166,4.11,4.52,3.23,3.06,7.12,8.67,-0.92,4.15,3.98,8,"FICO,MU,NFLX,LULU,PTC,EQT,NEM,BIIB,NVDA,MO","MU,FICO,NVDA,NFLX,LULU,PTC,BIIB,PLTR,EOG,NEM"
2026-05-06,473,0.705,0.7166,3.33,3.09,2.32,3.49,6.54,6.04,-0.6,2.92,4.09,8,"FICO,MU,NFLX,LULU,PTC,EQT,NEM,BIIB,NVDA,WDC","MU,FICO,NVDA,NFLX,LULU,PTC,BIIB,PLTR,EOG,NEM"
2026-05-07,473,0.7052,0.7169,1.93,1.47,2.74,2.7,-0.1,-0.28,0.24,2.5,2.46,8,"FICO,MU,NFLX,LULU,PTC,NEM,EQT,BIIB,NVDA,WDC","MU,FICO,NVDA,NFLX,LULU,PTC,BIIB,PLTR,EOG,NEM"
2026-05-08,473,0.705,0.7167,-1.94,-1.52,0.7,1.05,-0.25,-0.02,1.15,-0.45,-0.09,8,"FICO,MU,NFLX,LULU,PTC,NEM,EQT,BIIB,NVDA,WDC","MU,FICO,NVDA,NFLX,LULU,PTC,BIIB,PLTR,EOG,NEM"
2026-05-11,473,0.705,0.7166,-2.73,-1.2,1.99,2.06,-1.38,-0.8,1.7,0.29,0.36,8,"FICO,MU,NFLX,LULU,PTC,NEM,EQT,BIIB,NVDA,WDC","MU,FICO,NVDA,NFLX,LULU,PTC,BIIB,PLTR,EOG,NEM"
2026-05-12,473,0.705,0.7166,-1.8,-1.14,3.42,2.43,-2.84,-2.27,1.73,1.69,0.7,8,"FICO,MU,NFLX,LULU,PTC,NEM,EQT,BIIB,NVDA,WDC","MU,FICO,NVDA,NFLX,LULU,PTC,BIIB,PLTR,EOG,NEM"
2026-05-13,473,0.705,0.7166,-0.69,0.71,3.08,3.43,-1.78,-1.45,2.69,0.39,0.74,8,"FICO,MU,NFLX,LULU,PTC,NEM,EQT,BIIB,NVDA,WDC","MU,FICO,NVDA,NFLX,LULU,PTC,BIIB,PLTR,EOG,NEM"
2026-05-14,473,0.705,0.7166,1.07,1.49,4.01,4.95,-0.72,-1.8,2.43,1.57,2.52,8,"FICO,MU,NFLX,LULU,PTC,NEM,EQT,BIIB,NVDA,WDC","MU,FICO,NVDA,NFLX,LULU,PTC,BIIB,PLTR,EOG,NEM"
2026-05-15,473,0.705,0.7166,2.77,2.7,8.18,8.75,5.05,1.92,3.62,4.56,5.13,8,"FICO,MU,NFLX,LULU,PTC,NEM,EQT,BIIB,NVDA,WDC","MU,FICO,NVDA,NFLX,LULU,PTC,BIIB,PLTR,EOG,NEM"
2026-05-18,473,0.705,0.7166,5.34,3.75,7.54,6.7,4.83,0.13,3.06,4.48,3.64,8,"FICO,MU,NFLX,LULU,PTC,NEM,EQT,BIIB,NVDA,WDC","MU,FICO,NVDA,NFLX,LULU,PTC,BIIB,PLTR,EOG,NEM"
2026-05-19,473,0.705,0.7166,5.71,3.94,7.09,5.26,4.45,-0.84,3.2,3.89,2.06,8,"FICO,MU,NFLX,LULU,PTC,NEM,EQT,BIIB,NVDA,WDC","MU,FICO,NVDA,NFLX,LULU,PTC,BIIB,PLTR,EOG,NEM"
2026-05-20,473,0.705,0.7166,4.1,2.93,4.15,2.35,4.48,-1.99,2.89,1.26,-0.54,8,"FICO,MU,NFLX,LULU,PTC,NEM,EQT,BIIB,NVDA,WDC","MU,FICO,NVDA,NFLX,LULU,PTC,BIIB,PLTR,EOG,NEM"
2026-05-21,474,0.7051,0.7167,2.97,3.46,-3.07,-3.2,2.66,-3.2,1.43,-4.51,-4.63,8,"FICO,MU,NFLX,LULU,PTC,EQT,NEM,BIIB,NVDA,WDC","MU,FICO,NVDA,NFLX,LULU,PTC,BIIB,PLTR,EOG,NEM"
2026-05-22,474,0.7051,0.7168,5.25,5.84,-0.98,-1.12,-1.41,-6.1,0.27,-1.25,-1.39,8,"FICO,MU,NFLX,LULU,PTC,EQT,NEM,BIIB,NVDA,WDC","MU,FICO,NVDA,NFLX,LULU,PTC,BIIB,PLTR,EOG,NEM"
2026-05-26,474,0.7051,0.7168,1.52,2.37,-3.45,-2.95,-4.89,-8.14,0.91,-4.36,-3.85,8,"FICO,MU,NFLX,LULU,PTC,EQT,NEM,BIIB,NVDA,WDC","MU,FICO,NVDA,NFLX,LULU,PTC,BIIB,PLTR,EOG,NEM"
2026-05-27,474,0.7049,0.7166,0.73,0.93,-6.17,-4.67,-2.95,-7.0,-0.31,-5.85,-4.36,8,"FICO,MU,NFLX,LULU,PTC,EQT,NEM,BIIB,NVDA,WDC","MU,FICO,NVDA,NFLX,LULU,PTC,BIIB,PLTR,EOG,NEM"
2026-05-28,474,0.705,0.7168,-0.21,-0.68,-4.87,-4.79,-3.33,-6.17,0.63,-5.49,-5.42,8,"FICO,MU,NFLX,LULU,PTC,EQT,NEM,BIIB,NVDA,WDC","MU,FICO,NVDA,NFLX,LULU,PTC,BIIB,PLTR,EOG,NEM"
2026-05-29,474,0.7063,0.7181,-5.68,-6.11,-4.75,-6.39,-2.64,-7.1,1.44,-6.2,-7.83,8,"FICO,MU,NFLX,LULU,PTC,NEM,EQT,NVDA,BIIB,WDC","MU,NVDA,FICO,NFLX,LULU,PTC,BIIB,PLTR,EOG,NEM"
2026-06-01,474,0.7064,0.7184,-5.81,-6.3,-3.32,-6.43,-4.64,-9.2,1.75,-5.07,-8.18,8,"FICO,MU,NFLX,LULU,PTC,NEM,EQT,NVDA,BIIB,WDC","MU,NVDA,FICO,NFLX,LULU,PTC,BIIB,PLTR,EOG,NEM"
2026-06-02,474,0.715,0.726,-4.78,-4.82,-6.35,-7.36,-7.74,-8.32,1.41,-7.76,-8.78,8,"INTU,FICO,MU,NFLX,LULU,PTC,EQT,NEM,BIIB,NVDA","INTU,MU,NVDA,FICO,NFLX,LULU,PTC,BIIB,PLTR,EOG"
2026-06-03,474,0.7152,0.7262,-5.52,-4.74,-6.53,-7.14,-4.67,-5.02,0.18,-6.71,-7.33,8,"INTU,FICO,MU,NFLX,LULU,PTC,EQT,NEM,BIIB,NVDA","INTU,MU,NVDA,FICO,NFLX,LULU,PTC,BIIB,PLTR,EOG"
2026-06-04,474,0.7164,0.7275,-4.6,-3.93,-5.27,-5.74,,,-0.49,-4.78,-5.25,8,"INTU,FICO,MU,NFLX,LULU,PTC,EQT,NEM,BIIB,NVDA","INTU,MU,NVDA,FICO,NFLX,LULU,PTC,BIIB,PLTR,EOG"
2026-06-05,474,0.7136,0.7242,0.09,-2.02,4.13,-2.71,,,0.56,3.57,-3.27,7,"INTU,FICO,MU,NFLX,PTC,EQT,NEM,BIIB,NVDA,WDC","INTU,MU,NVDA,FICO,NFLX,PTC,BIIB,PLTR,EOG,VEEV"
2026-06-08,474,0.7136,0.7242,1.96,-1.73,-2.11,-6.75,,,0.55,-2.66,-7.3,7,"INTU,FICO,MU,NFLX,PTC,EQT,NEM,BIIB,NVDA,WDC","INTU,MU,NVDA,FICO,NFLX,PTC,BIIB,PLTR,EOG,VEEV"
2026-06-09,474,0.7136,0.7242,2.15,-2.31,-2.16,-5.9,,,0.29,-2.45,-6.19,7,"INTU,FICO,MU,NFLX,PTC,EQT,NEM,BIIB,NVDA,WDC","INTU,MU,NVDA,FICO,NFLX,PTC,BIIB,PLTR,EOG,VEEV"
2026-06-10,474,0.7136,0.7242,4.52,-2.13,2.97,-3.49,,,2.19,0.79,-5.68,7,"INTU,FICO,MU,NFLX,PTC,EQT,NEM,BIIB,NVDA,WDC","INTU,MU,NVDA,FICO,NFLX,PTC,BIIB,PLTR,EOG,VEEV"
2026-06-11,474,0.7135,0.724,4.25,-1.58,1.3,-0.99,,,1.27,0.03,-2.26,7,"INTU,FICO,MU,NFLX,PTC,EQT,NEM,BIIB,NVDA,WDC","INTU,MU,NVDA,FICO,NFLX,PTC,BIIB,PLTR,EOG,VEEV"
2026-06-12,474,0.7135,0.7239,3.4,-1.1,1.83,0.55,,,0.61,1.23,-0.05,7,"INTU,FICO,MU,NFLX,PTC,EQT,NEM,BIIB,NVDA,WDC","INTU,MU,NVDA,FICO,NFLX,PTC,BIIB,PLTR,EOG,VEEV"
2026-06-15,474,0.7135,0.7239,-4.14,-5.1,-2.01,-1.65,,,0.07,-2.08,-1.73,7,"INTU,FICO,MU,NFLX,PTC,EQT,NEM,BIIB,NVDA,WDC","INTU,MU,NVDA,FICO,NFLX,PTC,BIIB,PLTR,EOG,VEEV"
2026-06-16,474,0.7135,0.7239,-4.16,-3.73,-2.8,0.05,,,0.54,-3.34,-0.5,7,"INTU,FICO,MU,NFLX,PTC,EQT,NEM,BIIB,NVDA,WDC","INTU,MU,NVDA,FICO,NFLX,PTC,BIIB,PLTR,EOG,VEEV"
2026-06-17,474,0.7135,0.7239,-1.56,-1.73,-0.96,4.16,,,3.01,-3.96,1.15,7,"INTU,FICO,MU,NFLX,PTC,EQT,NEM,BIIB,NVDA,WDC","INTU,MU,NVDA,FICO,NFLX,PTC,BIIB,PLTR,EOG,VEEV"
2026-06-18,474,0.7135,0.7239,-1.94,0.72,,,,,,,,7,"INTU,FICO,MU,NFLX,PTC,EQT,NEM,BIIB,NVDA,WDC","INTU,MU,NVDA,FICO,NFLX,PTC,BIIB,PLTR,EOG,VEEV"
2026-06-22,474,0.7135,0.724,-0.99,1.92,,,,,,,,7,"INTU,FICO,MU,NFLX,PTC,EQT,NEM,BIIB,NVDA,WDC","INTU,MU,NVDA,FICO,NFLX,PTC,BIIB,PLTR,EOG,VEEV"
2026-06-23,474,0.7135,0.724,2.2,3.56,,,,,,,,7,"INTU,FICO,MU,NFLX,PTC,EQT,NEM,BIIB,NVDA,WDC","INTU,MU,NVDA,FICO,NFLX,PTC,BIIB,PLTR,EOG,VEEV"
2026-06-24,474,0.7135,0.724,1.39,4.04,,,,,,,,7,"INTU,FICO,MU,NFLX,PTC,EQT,NEM,BIIB,NVDA,WDC","INTU,MU,NVDA,FICO,NFLX,PTC,BIIB,PLTR,EOG,VEEV"
2026-06-25,474,0.7139,0.7244,0.96,6.66,,,,,,,,7,"INTU,FICO,MU,NFLX,PTC,EQT,NEM,BIIB,NVDA,WDC","INTU,MU,NVDA,FICO,NFLX,PTC,BIIB,PLTR,EOG,VEEV"
2026-06-26,474,0.7139,0.7244,,,,,,,,,,7,"INTU,FICO,MU,NFLX,PTC,EQT,NEM,BIIB,NVDA,WDC","INTU,MU,NVDA,FICO,NFLX,PTC,BIIB,PLTR,EOG,VEEV"
2026-06-29,474,0.7141,0.7247,,,,,,,,,,7,"INTU,FICO,MU,NFLX,PTC,EQT,NEM,BIIB,NVDA,WDC","INTU,MU,NVDA,FICO,NFLX,PTC,BIIB,PLTR,EOG,VEEV"
2026-06-30,474,0.7156,0.734,,,,,,,,,,8,"INTU,PTC,EQT,NEM,FICO,NFLX,BIIB,NVDA,WDC,AJG","INTU,PTC,NVDA,MU,NFLX,EQT,FICO,NEM,BIIB,PLTR"
2026-07-01,474,0.7156,0.7341,,,,,,,,,,8,"INTU,PTC,EQT,NEM,FICO,NFLX,BIIB,NVDA,WDC,AJG","INTU,PTC,NVDA,MU,NFLX,EQT,FICO,NEM,BIIB,PLTR"
2026-07-02,474,0.7156,0.7341,,,,,,,,,,8,"INTU,PTC,EQT,NEM,FICO,NFLX,BIIB,NVDA,WDC,AJG","INTU,PTC,NVDA,MU,NFLX,EQT,FICO,NEM,BIIB,PLTR"
